word_index,word_id,unique_word_id,word,translation,start_time,end_time
18,59fb26a3-8fe2-4762-aaf9-d76724e0fab5,4fdf5dab-5bba-4668-9f4d-9521d1b78779,club,club,128.505,128.825
19,77a7b1c3-866b-4b0b-8ca7-c151d37e5031,7efc0c98-e105-474b-aac2-e6cd73831098,ponerse,put on,130.425,130.825
20,11dc06a0-3c48-458c-81fa-204404313c39,316cab44-8e6a-474e-9086-e5832a0a6f38,pesadumbre,sorrow,144.92,145.42
21,00be15e7-1935-4bf6-9922-dd188e4777ed,080da4c7-43d9-47b5-a477-ea180139f831,miramiento,consideration,148.665,149.14499
22,5d129468-66f5-4a25-a7cf-7696b87ea7b3,fb257465-03c3-40a5-84e9-9577f2f3266f,compañeros,companions,149.625,150.125
23,2963d38d-e3f9-4afa-b4c1-0f892223a6a2,aaf2913f-0e7c-43bb-b29a-542a971685e0,arrebato,rapture,155.385,155.885
24,4916b4c0-7599-46af-9b6d-a4515636d881,817dd250-f181-4fd9-98c8-8cc9c43b2812,disciplina,discipline,167.53,168.03
25,b79cc758-7d87-43fe-8c75-0a97b6f0d7fb,316cab44-8e6a-474e-9086-e5832a0a6f38,pesadumbre,sorrow,169.69,170.19
26,54832d9c-8242-4953-8b76-0bbef17641ce,0b5c7301-c93f-4d42-8b0a-b6cbf5fac7e5,balón,ball,183.52501,184.02501
27,98a67522-bedb-4b65-af01-88a446da2aa9,4beb5364-f456-4a13-a628-7a2340b73152,entrenadores,coaches,185.245,185.745
28,f6a5ece6-8b1c-48d6-8e1f-7c030dad677b,080da4c7-43d9-47b5-a477-ea180139f831,miramiento,consideration,193.28,193.78
29,578b60aa-9127-4154-ab24-deb9ac78dbc4,fb257465-03c3-40a5-84e9-9577f2f3266f,compañeros,companions,194.4,194.9
30,80811694-0338-4335-bf0c-89d95a21fdb8,97813fb6-805c-44c3-aa8c-f56aa7c77e62,respeto,respect,197.2,197.59999
31,a85ef893-65c0-4d59-91cd-b53a63f954cf,4beb5364-f456-4a13-a628-7a2340b73152,entrenadores,coaches,199.92,200.42
32,c882630f-5532-4b08-a597-beecb72b0a74,5ff18f2e-2278-4e17-966d-957af525f7e9,pericia,expertise,202.0,202.31999
33,5d4cdd39-6333-4f71-9720-22b7dd257470,0b5c7301-c93f-4d42-8b0a-b6cbf5fac7e5,balón,ball,202.72,203.22
34,d18b61d7-0ab1-4873-84ae-9f2c28ab9abb,105b1fc6-590c-46fa-b9f1-77d4a9aab669,epopeya,epic,207.265,207.765
35,8c7bf4a4-287a-4346-b79e-c29ad92a0f52,105b1fc6-590c-46fa-b9f1-77d4a9aab669,epopeya,epic,222.76,223.26
36,e693a264-9775-4847-b302-80c97a995248,1efb9755-04bc-4f1b-8686-0e4eee65b8b5,padre,father,229.56,229.88
37,e77aade9-eaa0-41e8-8a8e-458f12d47ff4,aaf2913f-0e7c-43bb-b29a-542a971685e0,arrebato,rapture,240.33499,240.735
38,449fa7d5-adb0-4138-8deb-df5d493a1e50,8c4e6c69-0c89-4f46-b01f-4acb2b7d2937,esperan,they wait,257.5,257.9
39,a2bce944-a435-4b97-9a11-6b3a3522947a,70ce7a7d-03df-489b-bdb4-aa609c825e1a,felicidad,happiness,259.1,259.41998
40,fcae3d62-3daa-4961-a09b-897dbd672bf6,1b4c7607-48c3-4e20-afbc-13fb499dc5a0,energía,energy,263.67502,264.155
41,3df2f5d8-af79-475d-9069-862dc552fed0,fc63ea9a-72d8-4481-91b1-f73e24468b3c,cocinar,cook,283.43494,283.75494
42,2d429e90-d6d5-4817-af64-3874829681e8,a768ed90-9287-443a-a6e5-9d008c63d4bd,travesuras,pranks,286.31494,286.81494
43,8f776ac8-a3e0-4211-bbd0-9a713053bbae,eb18993a-8918-40f3-8e24-95d1f8bf8e1c,cocina,kitchen,287.19495,287.69495
